X,Y,Theta
-2.5298432810936977,0.0,0.0
-2.5278426142047348,0.0,0.0
-2.525841947315772,0.0,0.0
-2.523841280426809,0.0,0.0
-2.521840613537846,0.0,0.0
-2.519839946648883,0.0,0.0
-2.51783927975992,0.0,0.0
-2.515838612870957,0.0,0.0
-2.5138379459819937,0.0,0.0
-2.5118372790930312,0.0,0.0
-2.509836612204068,0.0,0.0
-2.507835945315105,0.0,0.0
-2.505835278426142,0.0,0.0
-2.503834611537179,0.0,0.0
-2.501833944648216,0.0,0.0
-2.499833277759253,0.0,0.0
-2.49783261087029,0.0,0.0
-2.4958319439813272,0.0,0.0
-2.4938312770923643,0.0,0.0
-2.491830610203401,0.0,0.0
-2.489829943314438,0.0,0.0
-2.487829276425475,0.0,0.0
-2.485828609536512,0.0,0.0
-2.483827942647549,0.0,0.0
-2.481827275758586,0.0,0.0
-2.4798266088696233,0.0,0.0
-2.4778259419806603,0.0,0.0
-2.4758252750916974,0.0,0.0
-2.473824608202734,0.0,0.0
-2.4718239413137715,0.0,0.0
-2.469823274424808,0.0,0.0
-2.467822607535845,0.0,0.0
-2.465821940646882,0.0,0.0
-2.4638212737579193,0.0,0.0
-2.4618206068689563,0.0,0.0
-2.4598199399799934,0.0,0.0
-2.4578192730910304,0.0,0.0
-2.4558186062020675,0.0,0.0
-2.4538179393131045,0.0,0.0
-2.451817272424141,0.0,0.0
-2.449816605535178,0.0,0.0
-2.4478159386462153,0.0,0.0
-2.4458152717572523,0.0,0.0
-2.4438146048682894,0.0,0.0
-2.4418139379793264,0.0,0.0
-2.4398132710903635,0.0,0.0
-2.4378126042014006,0.0,0.0
-2.4358119373124376,0.0,0.0
-2.4338112704234742,0.0,0.0
-2.4318106035345117,0.0,0.0
-2.4298099366455483,0.0,0.0
-2.4278092697565854,0.0,0.0
-2.4258086028676225,0.0,0.0
-2.4238079359786595,0.0,0.0
-2.4218072690896966,0.0,0.0
-2.4198066022007336,0.0,0.0
-2.4178059353117707,0.0,0.0
-2.4158052684228077,0.0,0.0
-2.413804601533845,0.0,0.0
-2.4118039346448814,0.0,0.0
-2.4098032677559185,0.0,0.0
-2.4078026008669555,0.0,0.0
-2.4058019339779926,0.0,0.0
-2.4038012670890296,0.0,0.0
-2.4018006002000667,0.0,0.0
-2.3997999333111038,0.0,0.0
-2.397799266422141,0.0,0.0
-2.395798599533178,0.0,0.0
-2.3937979326442145,0.0,0.0
-2.391797265755252,0.0,0.0
-2.3897965988662886,0.0,0.0
-2.3877959319773256,0.0,0.0
-2.3857952650883627,0.0,0.0
-2.3837945981993998,0.0,0.0
-2.381793931310437,0.0,0.0
-2.379793264421474,0.0,0.0
-2.377792597532511,0.0,0.0
-2.3757919306435475,0.0,0.0
-2.373791263754585,0.0,0.0
-2.3717905968656217,0.0,0.0
-2.3697899299766587,0.0,0.0
-2.3677892630876958,0.0,0.0
-2.365788596198733,0.0,0.0
-2.36378792930977,0.0,0.0
-2.361787262420807,0.0,0.0
-2.359786595531844,0.0,0.0
-2.357785928642881,0.0,0.0
-2.355785261753918,0.0,0.0
-2.3537845948649547,0.0,0.0
-2.3517839279759922,0.0,0.0
-2.349783261087029,0.0,0.0
-2.347782594198066,0.0,0.0
-2.345781927309103,0.0,0.0
-2.34378126042014,0.0,0.0
-2.341780593531177,0.0,0.0
-2.339779926642214,0.0,0.0
-2.337779259753251,0.0,0.0
-2.335778592864288,0.0,0.0
-2.3337779259753253,0.0,0.0
-2.331777259086362,0.0,0.0
-2.329776592197399,0.0,0.0
-2.327775925308436,0.0,0.0
-2.325775258419473,0.0,0.0
-2.32377459153051,0.0,0.0
-2.321773924641547,0.0,0.0
-2.3197732577525843,0.0,0.0
-2.3177725908636213,0.0,0.0
-2.3157719239746584,0.0,0.0
-2.313771257085695,0.0,0.0
-2.3117705901967325,0.0,0.0
-2.309769923307769,0.0,0.0
-2.307769256418806,0.0,0.0
-2.305768589529843,0.0,0.0
-2.3037679226408803,0.0,0.0
-2.3017672557519173,0.0,0.0
-2.2997665888629544,0.0,0.0
-2.2977659219739914,0.0,0.0
-2.295765255085028,0.0,0.0
-2.2937645881960655,0.0,0.0
-2.291763921307102,0.0,0.0
-2.289763254418139,0.0,0.0
-2.2877625875291763,0.0,0.0
-2.2857619206402133,0.0,0.0
-2.2837612537512504,0.0,0.0
-2.2817605868622874,0.0,0.0
-2.2797599199733245,0.0,0.0
-2.2777592530843616,0.0,0.0
-2.2757585861953986,0.0,0.0
-2.2737579193064352,0.0,0.0
-2.2717572524174727,0.0,0.0
-2.2697565855285093,0.0,0.0
-2.2677559186395464,0.0,0.0
-2.2657552517505835,0.0,0.0
-2.2637545848616205,0.0,0.0
-2.2617539179726576,0.0,0.0
-2.2597532510836946,0.0,0.0
-2.2577525841947317,0.0,0.0
-2.2557519173057683,0.0,0.0
-2.253751250416806,0.0,0.0
-2.2517505835278424,0.0,0.0
-2.2497499166388795,0.0,0.0
-2.2477492497499165,0.0,0.0
-2.2457485828609536,0.0,0.0
-2.2437479159719906,0.0,0.0
-2.2417472490830277,0.0,0.0
-2.2397465821940648,0.0,0.0
-2.237745915305102,0.0,0.0
-2.235745248416139,0.0,0.0
-2.2337445815271755,0.0,0.0
-2.231743914638213,0.0,0.0
-2.2297432477492496,0.0,0.0
-2.2277425808602866,0.0,0.0
-2.2257419139713237,0.0,0.0
-2.2237412470823608,0.0,0.0
