X,Y,Theta
2.0,2.0,0.3959726652407275
2.0,2.0,0.40225794564137396
2.0,2.0,0.4085432260420204
2.0,2.0,0.4148285064426669
2.0,2.0,0.42111378684331335
2.0,2.0,0.4273990672439598
2.0,2.0,0.4336843476446063
2.0,2.0,0.43996962804525275
2.0,2.0,0.4462549084458992
2.0,2.0,0.4525401888465457
2.0,2.0,0.4588254692471922
2.0,2.0,0.46511074964783866
2.0,2.0,0.4713960300484851
2.0,2.0,0.4776813104491316
2.0,2.0,0.48396659084977806
2.0,2.0,0.4902518712504245
2.0,2.0,0.496537151651071
2.0,2.0,0.5028224320517174
2.0,2.0,0.509107712452364
2.0,2.0,0.5153929928530104
2.0,2.0,0.5216782732536569
2.0,2.0,0.5279635536543034
2.0,2.0,0.5342488340549498
2.0,2.0,0.5405341144555963
2.0,2.0,0.5468193948562428
2.0,2.0,0.5531046752568892
2.0,2.0,0.5593899556575357
2.0,2.0,0.5656752360581822
2.0,2.0,0.5719605164588286
2.0,2.0,0.5782457968594751
2.0,2.0,0.5845310772601215
2.0,2.0,0.590816357660768
2.0,2.0,0.5971016380614145
2.0,2.0,0.6033869184620609
2.0,2.0,0.6096721988627074
2.0,2.0,0.6159574792633539
2.0,2.0,0.6222427596640003
2.0,2.0,0.6285280400646468
2.0,2.0,0.6348133204652933
2.0,2.0,0.6410986008659397
2.0,2.0,0.6473838812665862
2.0,2.0,0.6536691616672327
2.0,2.0,0.6599544420678791
2.0,2.0,0.6662397224685256
2.0,2.0,0.672525002869172
2.0,2.0,0.6788102832698185
2.0,2.0,0.685095563670465
2.0,2.0,0.6913808440711114
2.0,2.0,0.6976661244717579
2.0,2.0,0.7039514048724045
2.0,2.0,0.710236685273051
2.0,2.0,0.7165219656736974
2.0,2.0,0.7228072460743439
2.0,2.0,0.7290925264749903
2.0,2.0,0.7353778068756368
2.0,2.0,0.7416630872762833
2.0,2.0,0.7479483676769297
2.0,2.0,0.7542336480775762
2.0,2.0,0.7605189284782227
2.0,2.0,0.7668042088788691
2.0,2.0,0.7730894892795156
2.0,2.0,0.7793747696801621
2.0,2.0,0.7856600500808085
2.0,2.0,0.791945330481455
2.0,2.0,0.7982306108821015
2.0,2.0,0.8045158912827479
2.0,2.0,0.8108011716833944
2.0,2.0,0.8170864520840408
2.0,2.0,0.8233717324846873
2.0,2.0,0.8296570128853338
2.0,2.0,0.8359422932859802
2.0,2.0,0.8422275736866267
2.0,2.0,0.8485128540872732
2.0,2.0,0.8547981344879196
2.0,2.0,0.8610834148885661
2.0,2.0,0.8673686952892126
2.0,2.0,0.873653975689859
2.0,2.0,0.8799392560905055
2.0,2.0,0.886224536491152
2.0,2.0,0.8925098168917984
2.0,2.0,0.8987950972924449
2.0,2.0,0.9050803776930914
2.0,2.0,0.9113656580937379
2.0,2.0,0.9176509384943844
2.0,2.0,0.9239362188950309
2.0,2.0,0.9302214992956773
2.0,2.0,0.9365067796963238
2.0,2.0,0.9427920600969703
2.0,2.0,0.9490773404976167
2.0,2.0,0.9553626208982632
2.0,2.0,0.9616479012989096
2.0,2.0,0.9679331816995561
2.0,2.0,0.9742184621002026
2.0,2.0,0.980503742500849
2.0,2.0,0.9867890229014955
2.0,2.0,0.993074303302142
2.0,2.0,0.9993595837027884
2.0,2.0,1.0056448641034348
2.0,2.0,1.0119301445040814
2.0,2.0,1.018215424904728
2.0,2.0,1.0245007053053743
2.0,2.0,1.0307859857060209
2.0,2.0,1.0370712661066672
2.0,2.0,1.0433565465073138
2.0,2.0,1.0496418269079602
2.0,2.0,1.0559271073086067
2.0,2.0,1.062212387709253
2.0,2.0,1.0684976681098997
2.0,2.0,1.074782948510546
2.0,2.0,1.0810682289111926
2.0,2.0,1.087353509311839
2.0,2.0,1.0936387897124855
2.0,2.0,1.0999240701131319
2.0,2.0,1.1062093505137784
2.0,2.0,1.1124946309144248
2.0,2.0,1.1187799113150714
2.0,2.0,1.1250651917157177
2.0,2.0,1.1313504721163643
2.0,2.0,1.1376357525170107
2.0,2.0,1.1439210329176572
2.0,2.0,1.1502063133183036
2.0,2.0,1.1564915937189502
2.0,2.0,1.1627768741195965
2.0,2.0,1.169062154520243
2.0,2.0,1.1753474349208894
2.0,2.0,1.181632715321536
2.0,2.0,1.1879179957221824
2.0,2.0,1.194203276122829
2.0,2.0,1.2004885565234753
2.0,2.0,1.2067738369241219
2.0,2.0,1.2130591173247685
2.0,2.0,1.2193443977254148
2.0,2.0,1.2256296781260614
2.0,2.0,1.2319149585267077
2.0,2.0,1.2382002389273543
2.0,2.0,1.2444855193280007
2.0,2.0,1.2507707997286472
2.0,2.0,1.2570560801292936
2.0,2.0,1.2633413605299402
2.0,2.0,1.2696266409305865
2.0,2.0,1.275911921331233
2.0,2.0,1.2821972017318795
2.0,2.0,1.288482482132526
2.0,2.0,1.2947677625331724
2.0,2.0,1.301053042933819
2.0,2.0,1.3073383233344653
2.0,2.0,1.3136236037351119
2.0,2.0,1.3199088841357582
2.0,2.0,1.3261941645364048
2.0,2.0,1.3324794449370512
2.0,2.0,1.3387647253376977
2.0,2.0,1.345050005738344
2.0,2.0,1.3513352861389907
2.0,2.0,1.357620566539637
